area	company	pay
중구	㈜이니삭	6030
용산구	두에꼬제	7000
강북구	밀당포차	7000
종로구	계동피자	6200
성동구	㈜이지모바일	8500
강동구	연세로하스 서울지사	8000
강서구	Holic bar	25000
강남구	맥도날드 춘천명동점	7700
강남구	맥도날드 이마트목포점	7700
강남구	맥도날드 부평이마트점	7700
강남구	맥도날드 인천공항점	7700
중랑구	bee hive(허니비)	8000
송파구	파리바게트 위례북부점	6030
용산구	코레일유통 직영편의점 Storyway편의점 P/T	7600
송파구	㈜제이에스부동산중개법인	6030
영등포구	홍이식품	7500
강남구	이앤티컴퍼니코리아	6500
노원구	스시통[노원본점]	6500
송파구	효성한의원	6500
동대문구	㈜나라컴퍼니	7000
광진구	히네꼬 스테이크	6300
강서구	메이비원㈜/포토몬	6500
서초구	서울리마치과	8000
중구	비치클럽커피 충무로점	6100
송파구	㈜에이치티엠	10000
노원구	신흥	7000
동작구	올리브영 노량진삼거리점	7240
구로구	올리브영 오류동역	7240
종로구	㈜캘리스코	6700
관악구	죠스떡볶이(난곡점)	6100
성동구	공차왕십리역사점	6030
노원구	광운전자공업고등학교	8000
중구	청미루	7000
용산구	테이스트릿	6100
금천구	미니스톱 가산대륭점	6030
중구	파리바게뜨	6030
종로구	Caffe Grano	6500
구로구	㈜현대백화점	6100
동작구	크리스피크림도넛_ 사당점	6030
서초구	바바인디아	6500
강남구	비씨인베스트㈜	7000
마포구	아마스빈 홍대점	6200
서초구	㈜텐씨씨	7000
강서구	GS25등촌한마음점	6200
강남구	크리스피크림도넛_ 코엑스몰점	6030
강남구	미스터피자 양재점	8000
강남구	크리스피크림도넛_ 코엑스몰점	6030
광진구	nIne Bar	30000
구로구	근린공원주유소	6100
강남구	크리스피크림도넛_ 코엑스몰점	6030
서초구	마노핀 교대역점	6030
양천구	엘리자베스아덴 코리아	7000
광진구	충만치킨 아차산점	7000
동대문구	농업회사법인 푸른산㈜	6500
종로구	㈜캘리스코	6700
종로구	도쿄스테이크	6100
강서구	죠스떡볶이 롯데마트 김포공항점	6030
강남구	크리스피크림도넛_ 코엑스몰점	6030
중랑구	롯데리아 사가정역점	9045
마포구	GS25동교행복점	6300
강남구	크리스피크림도넛_ 코엑스몰점	6030
서초구	올리브영 교대점	7240
금천구	지비인터렉티브㈜	7000
강남구	㈜상상	7000
강동구	도서출판 두남	6300
강남구	카페7그램	7300
송파구	자연별곡 잠실웰빙점	7200
노원구	3pop pc cafe	6500
강남구	메타플레저	15000
